,Category,Price,Rating,Stock,Discount,Category_FR,Price_MinMax
164,Unknown,4668.0,1.7613833832587744,Unknown,23.0,4,0.46684668466846685
165,A,5268.0,0.0,Unknown,48.0,0,0.5268526852685268
166,C,249.0,2.0809167459930693,Unknown,15.0,2,0.024902490249024904
167,Unknown,5908.0,0.0,In Stock,42.0,4,0.5908590859085908
168,B,9697.0,0.0,Unknown,26.0,1,0.9697969796979699
169,B,8458.0,0.0,In Stock,18.0,1,0.8458845884588458
170,Unknown,4741.0,0.0,Unknown,27.0,4,0.47414741474147415
171,A,6943.0,0.0,Unknown,42.0,0,0.6943694369436944
172,Unknown,0.0,0.0,Unknown,11.0,4,0.0
173,Unknown,758.0,1.24949775543227,In Stock,28.0,4,0.07580758075807581
174,Unknown,3169.0,2.619334913499717,In Stock,25.0,4,0.3169316931693169
175,C,7953.0,1.572071265516846,In Stock,39.0,2,0.7953795379537953
176,Unknown,8793.0,3.006402453214005,Out of Stock,6.0,4,0.8793879387938794
177,D,9114.0,0.0,In Stock,27.0,3,0.9114911491149115
178,Unknown,8893.0,2.5193505429065683,In Stock,0.0,4,0.8893889388938894
179,A,8713.0,2.3809932611851488,Unknown,30.0,0,0.8713871387138714
180,A,1269.0,0.0,In Stock,38.0,0,0.1269126912691269
181,Unknown,8069.0,0.0,In Stock,31.0,4,0.806980698069807
182,D,6751.0,2.337782569158563,Unknown,2.0,3,0.6751675167516752
183,C,4970.0,2.365565206916858,Unknown,5.0,2,0.49704970497049705
184,Unknown,2323.0,0.0,Unknown,0.0,4,0.23232323232323232
185,Unknown,0.0,0.0,Unknown,0.0,4,0.0
186,A,5515.0,4.709544999960464,Out of Stock,0.0,0,0.5515551555155516
187,Unknown,8846.0,1.3640831526286097,Unknown,4.0,4,0.8846884688468847
188,Unknown,2584.0,0.0,Out of Stock,1.0,4,0.25842584258425844
189,C,7911.0,2.7657386196907554,Out of Stock,37.0,2,0.7911791179117912
190,D,6799.0,0.0,Out of Stock,29.0,3,0.67996799679968
191,Unknown,4620.0,4.340548431791186,Unknown,10.0,4,0.46204620462046203
192,Unknown,9424.0,1.0760737682485182,Out of Stock,0.0,4,0.9424942494249425
193,Unknown,8409.0,1.696635601842893,Out of Stock,29.0,4,0.840984098409841
194,Unknown,9063.0,3.624530680172045,Out of Stock,0.0,4,0.9063906390639064
195,Unknown,8405.0,1.2189362743316066,In Stock,48.0,4,0.8405840584058406
196,Unknown,8070.0,4.220245876716987,Unknown,20.0,4,0.8070807080708071
197,D,7564.0,2.576792877375157,In Stock,35.0,3,0.7564756475647565
198,D,8555.0,2.3813933482220966,Out of Stock,22.0,3,0.8555855585558556
199,Unknown,1870.0,0.0,In Stock,32.0,4,0.18701870187018702
200,Unknown,6864.0,2.8934828195730478,Unknown,10.0,4,0.6864686468646864
201,C,439.0,2.364554354883883,In Stock,0.0,2,0.04390439043904391
202,A,1425.0,1.8037601301099573,In Stock,15.0,0,0.1425142514251425
203,Unknown,1612.0,3.032991895982947,In Stock,16.0,4,0.16121612161216123
204,Unknown,1894.0,2.32948814776713,Out of Stock,0.0,4,0.18941894189418942
205,Unknown,8975.0,4.469736333901759,Out of Stock,32.0,4,0.8975897589758975
206,Unknown,807.0,0.0,Unknown,13.0,4,0.08070807080708071
207,C,2297.0,0.0,Out of Stock,21.0,2,0.2297229722972297
208,Unknown,7800.0,0.0,Unknown,5.0,4,0.7800780078007801
209,B,1493.0,3.3836236749501865,Out of Stock,45.0,1,0.1493149314931493
210,Unknown,2602.0,0.0,In Stock,0.0,4,0.26022602260226024
211,D,5381.0,4.767811269419312,Out of Stock,10.0,3,0.5381538153815382
212,B,5429.0,1.746249651651913,In Stock,6.0,1,0.542954295429543
213,Unknown,734.0,0.0,Unknown,10.0,4,0.0734073407340734
214,B,3365.0,4.175149077636549,In Stock,29.0,1,0.3365336533653365
215,D,9318.0,3.319298848791882,Unknown,18.0,3,0.931893189318932
216,Unknown,5220.0,0.0,In Stock,0.0,4,0.5220522052205221
217,Unknown,381.0,3.0932853971576586,In Stock,17.0,4,0.038103810381038106
218,Unknown,8707.0,0.0,Out of Stock,39.0,4,0.8707870787078708
219,Unknown,3604.0,0.0,In Stock,17.0,4,0.36043604360436043
220,Unknown,5078.0,4.391163208162469,Out of Stock,6.0,4,0.5078507850785079
221,Unknown,8070.0,0.0,In Stock,28.0,4,0.8070807080708071
222,C,721.0,0.0,Unknown,0.0,2,0.07210721072107211
223,Unknown,6921.0,0.0,Out of Stock,37.0,4,0.6921692169216922
224,D,2622.0,0.0,Unknown,22.0,3,0.26222622262226225
225,C,7231.0,0.0,Unknown,6.0,2,0.7231723172317231
226,Unknown,340.0,0.0,Out of Stock,27.0,4,0.034003400340034004
227,C,9212.0,0.0,In Stock,0.0,2,0.9212921292129213
228,C,6472.0,0.0,Unknown,27.0,2,0.6472647264726472
229,Unknown,3978.0,0.0,Out of Stock,19.0,4,0.39783978397839787
230,Unknown,5746.0,0.0,Out of Stock,2.0,4,0.5746574657465746
231,Unknown,3956.0,3.4559452367626182,Unknown,23.0,4,0.39563956395639566
232,D,8757.0,0.0,In Stock,49.0,3,0.8757875787578758
233,Unknown,2820.0,3.0889237473550524,Unknown,21.0,4,0.282028202820282
234,D,2001.0,0.0,Out of Stock,23.0,3,0.2001200120012001
235,Unknown,412.0,3.760118968243407,Out of Stock,21.0,4,0.041204120412041204
236,Unknown,6675.0,0.0,Unknown,43.0,4,0.6675667566756676
237,A,4317.0,0.0,Out of Stock,13.0,0,0.43174317431743175
238,C,8507.0,4.575949016312601,Out of Stock,41.0,2,0.8507850785078508
239,Unknown,6784.0,2.0879591139976266,Out of Stock,13.0,4,0.6784678467846784
240,Unknown,7635.0,0.0,Out of Stock,5.0,4,0.7635763576357636
241,Unknown,9529.0,1.4609563879698744,In Stock,31.0,4,0.952995299529953
242,Unknown,1595.0,1.306888078818401,Unknown,37.0,4,0.15951595159515952
243,Unknown,5669.0,0.0,Out of Stock,38.0,4,0.566956695669567
244,Unknown,5861.0,1.4703921216572344,Out of Stock,40.0,4,0.5861586158615861
245,Unknown,2349.0,0.0,Out of Stock,48.0,4,0.23492349234923493
246,Unknown,5766.0,0.0,Out of Stock,3.0,4,0.5766576657665766
247,Unknown,7362.0,0.0,Out of Stock,33.0,4,0.7362736273627363
248,Unknown,3256.0,2.771753928779113,In Stock,45.0,4,0.3256325632563256
249,Unknown,9284.0,0.0,Out of Stock,45.0,4,0.9284928492849285
250,C,8597.0,3.517120302288795,In Stock,23.0,2,0.8597859785978598
251,C,4405.0,1.1026822552674769,Unknown,33.0,2,0.44054405440544053
252,C,2117.0,0.0,Unknown,45.0,2,0.21172117211721173
253,A,8642.0,0.0,In Stock,43.0,0,0.8642864286428643
254,C,0.0,0.0,Out of Stock,3.0,2,0.0
255,A,6022.0,0.0,In Stock,48.0,0,0.6022602260226022
256,Unknown,8132.0,2.7658498345678497,In Stock,15.0,4,0.8132813281328133
257,Unknown,3170.0,2.1988624853534624,In Stock,18.0,4,0.31703170317031704
258,C,2608.0,1.8730838175058309,In Stock,8.0,2,0.26082608260826085
259,Unknown,9544.0,1.508629504337426,In Stock,47.0,4,0.9544954495449545
260,Unknown,6220.0,1.4109864352582258,Unknown,32.0,4,0.622062206220622
261,Unknown,1959.0,4.96277529037139,Out of Stock,45.0,4,0.19591959195919592
262,A,1403.0,0.0,Unknown,0.0,0,0.1403140314031403
263,Unknown,3713.0,0.0,Out of Stock,32.0,4,0.37133713371337135
264,Unknown,6148.0,0.0,Unknown,3.0,4,0.6148614861486149
265,Unknown,3862.0,3.813108432235004,Unknown,22.0,4,0.3862386238623862
266,D,9438.0,3.69118375024206,Out of Stock,36.0,3,0.9438943894389439
267,B,395.0,0.0,In Stock,24.0,1,0.039503950395039504
268,Unknown,6080.0,4.13238174203871,Out of Stock,18.0,4,0.6080608060806081
269,C,5296.0,2.7415569027617632,Out of Stock,34.0,2,0.5296529652965296
270,Unknown,5348.0,1.5872258080389408,Out of Stock,31.0,4,0.5348534853485348
271,Unknown,6248.0,2.889130250465094,Unknown,39.0,4,0.6248624862486248
272,Unknown,8369.0,1.7741515707532138,In Stock,44.0,4,0.836983698369837
273,Unknown,3155.0,2.7562541960267173,In Stock,6.0,4,0.31553155315531556
274,Unknown,2539.0,0.0,Unknown,9.0,4,0.25392539253925395
275,Unknown,3112.0,0.0,Out of Stock,16.0,4,0.3112311231123112
276,D,2489.0,4.668760788357387,In Stock,42.0,3,0.24892489248924893
277,Unknown,5533.0,0.0,In Stock,34.0,4,0.5533553355335533
278,Unknown,8603.0,1.8951382789439115,Out of Stock,35.0,4,0.8603860386038604
279,Unknown,6989.0,0.0,Out of Stock,10.0,4,0.698969896989699
280,D,3064.0,1.783514835878143,Out of Stock,22.0,3,0.30643064306430645
281,Unknown,176.0,0.0,Out of Stock,33.0,4,0.0176017601760176
282,Unknown,8159.0,3.09958403972783,Out of Stock,31.0,4,0.815981598159816
283,A,5080.0,2.1172213117371106,Out of Stock,1.0,0,0.508050805080508
284,Unknown,5642.0,0.0,Unknown,28.0,4,0.5642564256425643
285,Unknown,7027.0,1.8155938044552264,In Stock,0.0,4,0.7027702770277028
286,Unknown,8407.0,1.1340181503447693,Out of Stock,38.0,4,0.8407840784078408
287,Unknown,878.0,0.0,Unknown,41.0,4,0.08780878087808781
288,Unknown,2546.0,1.1583134665091674,Out of Stock,34.0,4,0.2546254625462546
289,Unknown,9537.0,0.0,Out of Stock,25.0,4,0.9537953795379538
290,Unknown,9600.0,3.316477940525572,In Stock,32.0,4,0.9600960096009601
291,Unknown,7194.0,3.3294326510510706,Unknown,38.0,4,0.7194719471947195
292,Unknown,6968.0,3.739367232964894,Unknown,0.0,4,0.6968696869686969
293,C,6292.0,1.1557269813348965,Out of Stock,17.0,2,0.6292629262926293
294,C,4870.0,0.0,Out of Stock,14.0,2,0.48704870487048707
295,Unknown,6737.0,0.0,Unknown,38.0,4,0.6737673767376737
296,Unknown,250.0,1.4368825660019104,In Stock,30.0,4,0.025002500250025
297,C,0.0,3.4263169803936875,Unknown,7.0,2,0.0
298,Unknown,312.0,1.5370201492971782,Unknown,39.0,4,0.031203120312031204
299,D,8394.0,1.8188132957807648,Out of Stock,22.0,3,0.8394839483948395
300,Unknown,1421.0,4.23336229004081,Unknown,0.0,4,0.1421142114211421
301,Unknown,8693.0,3.186790808579415,In Stock,24.0,4,0.8693869386938694
302,Unknown,2846.0,3.6408580302425873,Unknown,6.0,4,0.2846284628462846
303,Unknown,3671.0,0.0,Unknown,47.0,4,0.36713671367136713
304,C,766.0,3.45755283587473,Unknown,19.0,2,0.07660766076607661
305,Unknown,615.0,0.0,Out of Stock,2.0,4,0.061506150615061504
306,Unknown,4309.0,0.0,Out of Stock,17.0,4,0.43094309430943095
307,Unknown,2947.0,1.093895333353871,Out of Stock,0.0,4,0.29472947294729473
308,Unknown,2841.0,2.5109712361162835,In Stock,40.0,4,0.28412841284128415
309,B,3923.0,1.4750528082467311,In Stock,10.0,1,0.3923392339233923
310,Unknown,5658.0,3.963020662718985,In Stock,29.0,4,0.5658565856585659
311,Unknown,6759.0,0.0,Out of Stock,35.0,4,0.675967596759676
312,Unknown,685.0,0.0,Out of Stock,24.0,4,0.06850685068506851
313,Unknown,5206.0,0.0,Unknown,35.0,4,0.5206520652065206
314,Unknown,5814.0,4.155485925483445,Out of Stock,12.0,4,0.5814581458145814
315,Unknown,1419.0,2.3755719081128803,Unknown,1.0,4,0.1419141914191419
316,A,6016.0,1.844219155421802,In Stock,1.0,0,0.6016601660166017
317,Unknown,5961.0,0.0,In Stock,18.0,4,0.5961596159615962
318,Unknown,9489.0,0.0,In Stock,5.0,4,0.948994899489949
319,Unknown,1558.0,0.0,Unknown,12.0,4,0.1558155815581558
320,Unknown,3892.0,1.9802288812656696,In Stock,6.0,4,0.38923892389238923
321,Unknown,6904.0,0.0,Out of Stock,36.0,4,0.6904690469046905
322,Unknown,663.0,3.084386434089388,Out of Stock,5.0,4,0.0663066306630663
323,A,1910.0,4.817531508955957,In Stock,0.0,0,0.19101910191019103
324,Unknown,2804.0,1.3541939976991424,Out of Stock,35.0,4,0.2804280428042804
325,D,8625.0,4.025419857361529,Unknown,36.0,3,0.8625862586258626
326,Unknown,8800.0,4.3667865198588895,Out of Stock,26.0,4,0.8800880088008801
327,Unknown,3689.0,0.0,Out of Stock,3.0,4,0.36893689368936894
328,A,6869.0,3.010511245777053,Out of Stock,49.0,0,0.686968696869687
329,Unknown,3601.0,0.0,In Stock,22.0,4,0.36013601360136016
330,Unknown,6657.0,0.0,Unknown,47.0,4,0.6657665766576658
331,C,0.0,0.0,Out of Stock,35.0,2,0.0
332,D,5146.0,0.0,In Stock,10.0,3,0.5146514651465146
333,B,4242.0,3.993229233892656,Out of Stock,47.0,1,0.42424242424242425
334,Unknown,7098.0,1.3018533062171231,Unknown,23.0,4,0.7098709870987099
335,A,3348.0,0.0,In Stock,16.0,0,0.33483348334833485
336,Unknown,4592.0,0.0,Out of Stock,25.0,4,0.4592459245924592
337,A,7005.0,0.0,Unknown,22.0,0,0.7005700570057005
338,A,5074.0,0.0,Out of Stock,41.0,0,0.5074507450745075
339,A,9602.0,0.0,Unknown,31.0,0,0.9602960296029603
340,Unknown,3742.0,4.209122065619451,In Stock,19.0,4,0.37423742374237423
341,D,454.0,0.0,Out of Stock,32.0,3,0.045404540454045406
342,Unknown,4903.0,4.615306042277187,Unknown,39.0,4,0.49034903490349036
343,Unknown,9658.0,0.0,Out of Stock,15.0,4,0.9658965896589659
344,Unknown,4198.0,0.0,Out of Stock,29.0,4,0.41984198419841984
345,A,6336.0,3.648349511115054,In Stock,11.0,0,0.6336633663366337
346,Unknown,9794.0,4.433559680432691,In Stock,39.0,4,0.9794979497949795
347,D,2201.0,0.0,In Stock,25.0,3,0.22012201220122013
348,Unknown,5323.0,0.0,Out of Stock,16.0,4,0.5323532353235324
349,A,9152.0,4.768849526844075,Out of Stock,11.0,0,0.9152915291529153
350,Unknown,5420.0,0.0,Out of Stock,21.0,4,0.5420542054205421
351,D,4763.0,0.0,Out of Stock,11.0,3,0.47634763476347636
352,Unknown,247.0,0.0,In Stock,0.0,4,0.024702470247024703
353,Unknown,2060.0,4.743226107544174,Out of Stock,0.0,4,0.20602060206020603
354,A,3372.0,0.0,In Stock,5.0,0,0.33723372337233726
355,D,8544.0,0.0,Unknown,29.0,3,0.8544854485448545
356,Unknown,0.0,0.0,Unknown,47.0,4,0.0
357,Unknown,3299.0,3.004898449740812,Out of Stock,32.0,4,0.32993299329932996
358,Unknown,2107.0,0.0,Out of Stock,11.0,4,0.21072107210721072
359,C,6765.0,3.4017721001746715,Unknown,35.0,2,0.6765676567656765
360,Unknown,1853.0,0.0,Out of Stock,11.0,4,0.1853185318531853
361,C,8773.0,3.892084161133099,Out of Stock,0.0,2,0.8773877387738774
362,Unknown,6671.0,0.0,Unknown,30.0,4,0.6671667166716672
363,C,8398.0,3.407813914668218,Out of Stock,4.0,2,0.8398839883988399
364,D,8742.0,0.0,Unknown,4.0,3,0.8742874287428742
365,Unknown,8334.0,2.562769446410627,In Stock,16.0,4,0.8334833483348335
366,B,2790.0,0.0,In Stock,0.0,1,0.279027902790279
367,B,6781.0,0.0,Out of Stock,21.0,1,0.6781678167816781
368,Unknown,1215.0,2.382519172332373,In Stock,30.0,4,0.12151215121512152
369,A,0.0,0.0,In Stock,14.0,0,0.0
370,Unknown,8857.0,0.0,In Stock,15.0,4,0.8857885788578858
